datetime;ipsrc;ipdst;dstport;proto;action;policyid;rfc_6065;indice
07/03/2022 18:22;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;443;TCP;Permit;8;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;445;TCP;Permit;9;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;465;TCP;Permit;10;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;8080;TCP;Permit;11;registered;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;8088;TCP;Permit;12;registered;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;23;TCP;Permit;4;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;443;TCP;Permit;8;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;445;TCP;Permit;9;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;465;TCP;Permit;10;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;8080;TCP;Permit;11;registered;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;8088;TCP;Permit;12;registered;1
07/03/2022 18:22;192.168.2.243;192.168.2.117;51473;UDP;Permit;13;dynamic_private;2
07/03/2022 18:22;192.168.2.134;192.168.2.117;23;TCP;Permit;4;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;23;TCP;Permit;4;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;23;TCP;Permit;4;well_known;1
07/03/2022 18:22;192.168.2.243;192.168.2.117;54930;UDP;Permit;13;dynamic_private;2
07/03/2022 18:22;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.134;192.168.2.117;8088;TCP;Permit;12;registered;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;8080;TCP;Permit;11;registered;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;465;TCP;Permit;10;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;445;TCP;Permit;9;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;443;TCP;Permit;8;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;8088;TCP;Permit;12;registered;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;465;TCP;Permit;10;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;8080;TCP;Permit;11;registered;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;443;TCP;Permit;8;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;445;TCP;Permit;9;well_known;1
07/03/2022 18:22;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:22;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:23;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:23;192.168.2.134;192.168.2.117;22;TCP;Permit;1;well_known;1
07/03/2022 18:23;192.168.2.134;192.168.2.117;20;TCP;Permit;5;well_known;1
07/03/2022 18:23;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:23;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:23;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:23;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:23;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:23;192.168.2.243;192.168.2.117;53906;UDP;Permit;13;dynamic_private;2
07/03/2022 18:23;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:23;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:24;192.168.2.134;192.168.2.117;20;TCP;Permit;5;well_known;1
07/03/2022 18:24;192.168.2.134;192.168.2.117;22;TCP;Permit;1;well_known;1
07/03/2022 18:24;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:24;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:24;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:24;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:24;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:24;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:24;192.168.2.243;192.168.2.117;41325;UDP;Permit;13;registered;2
07/03/2022 18:24;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:24;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:25;192.168.2.134;192.168.2.117;22;TCP;Permit;1;well_known;1
07/03/2022 18:25;192.168.2.134;192.168.2.117;20;TCP;Permit;5;well_known;1
07/03/2022 18:25;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:25;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:25;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:25;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:25;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:25;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:25;192.168.2.243;192.168.2.117;45048;UDP;Permit;13;registered;2
07/03/2022 18:25;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;0.0.0.0;255.255.255.255;67;UDP;Permit;13;well_known;4
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:25;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.134;192.168.2.117;20;TCP;Permit;5;well_known;1
07/03/2022 18:26;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:26;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:26;192.168.2.134;192.168.2.117;22;TCP;Permit;1;well_known;1
07/03/2022 18:26;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:26;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:26;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:26;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:26;192.168.2.134;192.168.2.117;80;TCP;Permit;6;well_known;1
07/03/2022 18:26;192.168.2.243;192.168.2.117;60829;UDP;Permit;13;dynamic_private;2
07/03/2022 18:26;192.168.2.134;192.168.2.117;21;TCP;Permit;5;well_known;1
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;0.0.0.0;255.255.255.255;67;UDP;Permit;13;well_known;4
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
07/03/2022 18:26;192.168.2.217;192.168.2.255;54915;UDP;Permit;13;dynamic_private;3
